"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12625","Registration of a user on the website using valid data","chromium","Mon Sep 23 16:35:21 CEST 2024","failed","Mon Sep 23 16:35:34 CEST 2024","","SignUp.spec.js","",""
"","30015","Create new questions in Redmine","firefox","Mon Sep 23 16:35:21 CEST 2024","broken","Mon Sep 23 16:35:51 CEST 2024","","createQuestion.spec.js","",""
"","7831","Authorization with invalid passwords","chromium","Mon Sep 23 16:35:21 CEST 2024","passed","Mon Sep 23 16:35:29 CEST 2024","","InvalidUserAuth.spec.js","",""
"","10036","Search by keyword with filtering by category","chromium","Mon Sep 23 16:35:21 CEST 2024","passed","Mon Sep 23 16:35:31 CEST 2024","","search.spec.js","",""
"","30011","Create new questions in Redmine","chromium","Mon Sep 23 16:35:21 CEST 2024","broken","Mon Sep 23 16:35:51 CEST 2024","","createQuestion.spec.js","",""
"","11167","Authorization with invalid passwords","firefox","Mon Sep 23 16:35:21 CEST 2024","passed","Mon Sep 23 16:35:32 CEST 2024","","InvalidUserAuth.spec.js","",""
"","6901","Authorization with invalid passwords","webkit","Mon Sep 23 16:35:35 CEST 2024","passed","Mon Sep 23 16:35:42 CEST 2024","","InvalidUserAuth.spec.js","",""
"","30018","Create new questions in Redmine","webkit","Mon Sep 23 16:35:32 CEST 2024","broken","Mon Sep 23 16:36:02 CEST 2024","","createQuestion.spec.js","",""
"","10189","Search by keyword with filtering by category","webkit","Mon Sep 23 16:35:36 CEST 2024","passed","Mon Sep 23 16:35:46 CEST 2024","","search.spec.js","",""
"","12666","Successful user authorization","chromium","Mon Sep 23 16:35:21 CEST 2024","failed","Mon Sep 23 16:35:34 CEST 2024","","AuthUser.spec.js","",""
"","11665","Search by keyword with filtering by category","firefox","Mon Sep 23 16:35:21 CEST 2024","passed","Mon Sep 23 16:35:33 CEST 2024","","search.spec.js","",""
"","15987","Successful user authorization","firefox","Mon Sep 23 16:35:21 CEST 2024","failed","Mon Sep 23 16:35:37 CEST 2024","","AuthUser.spec.js","",""
"","12973","Successful user authorization","webkit","Mon Sep 23 16:35:32 CEST 2024","failed","Mon Sep 23 16:35:45 CEST 2024","","AuthUser.spec.js","",""
"","16319","Registration of a user on the website using valid data","firefox","Mon Sep 23 16:35:21 CEST 2024","failed","Mon Sep 23 16:35:38 CEST 2024","","SignUp.spec.js","",""
"","12396","Registration of a user on the website using valid data","webkit","Mon Sep 23 16:35:35 CEST 2024","failed","Mon Sep 23 16:35:48 CEST 2024","","SignUp.spec.js","",""
